Date,Open,High,Low,Close,Volume
7/3/2020,2.358,2.4535,2.3495,2.4156,7833952.13
7/4/2020,2.4152,2.4975,2.4104,2.4599,6960525.36
7/5/2020,2.4595,2.471,2.3209,2.4072,7043578.91
7/6/2020,2.4073,2.6408,2.4002,2.6106,10564718.47
7/7/2020,2.6102,2.6274,2.5217,2.5589,7191106.16
7/8/2020,2.5592,2.7042,2.5398,2.6799,12305221.06
7/9/2020,2.6797,2.7269,2.5784,2.6504,11451467.32
7/10/2020,2.649,2.6498,2.5717,2.6221,6882737.22
7/11/2020,2.6219,2.641,2.5877,2.6194,5558764.17
7/12/2020,2.6195,2.6589,2.5602,2.6171,5957196.31
7/13/2020,2.6173,2.6464,2.4407,2.553,10436749.45
7/14/2020,2.5529,2.5761,2.5023,2.5592,5667056.79
7/15/2020,2.5589,2.5675,2.5056,2.5365,4751008.56
7/16/2020,2.5372,2.5595,2.4301,2.4999,6221059.99
7/17/2020,2.5007,2.5244,2.473,2.4949,3728663.25
7/18/2020,2.4953,2.5237,2.48,2.5026,3104973.62
7/19/2020,2.5023,2.6112,2.467,2.5845,6845332.38
7/20/2020,2.5848,2.6117,2.5323,2.5618,6607702.95
7/21/2020,2.562,2.6325,2.5549,2.6232,6314726.35
7/22/2020,2.6234,2.6662,2.5787,2.6574,6033633.94
7/23/2020,2.6575,2.6892,2.6242,2.6526,7589367.79
7/24/2020,2.6531,2.6531,2.565,2.5949,6517615.19
7/25/2020,2.595,2.745,2.592,2.7289,11334947.78
7/26/2020,2.7288,2.8016,2.6776,2.7121,13592403.88
7/27/2020,2.7117,2.9252,2.6075,2.8472,22237853.42
7/28/2020,2.8465,3.0799,2.7719,2.9941,20491937.77
7/29/2020,2.9943,3.147,2.949,3.0233,17078561.24
7/30/2020,3.0231,3.0997,2.9553,3.047,12145172.09
7/31/2020,3.047,3.1425,3.0101,3.0932,9313256.47
8/1/2020,3.0933,3.3236,3.0701,3.3038,17448951.59
8/2/2020,3.3048,3.4921,2.5435,2.9441,33567591.83
8/3/2020,2.9447,3.123,2.901,3.0449,16215568.45
8/4/2020,3.0452,3.1032,2.95,3.0363,13305738.88
8/5/2020,3.0371,3.1,3,3.0545,11354216.96
8/6/2020,3.0557,3.198,2.9985,3.089,15127582.9
8/7/2020,3.089,3.25,2.7612,3.0104,21168469.78
8/8/2020,3.0103,3.0906,2.9727,3.0649,8406246.72
8/9/2020,3.0652,3.084,2.9293,3.0272,8252484.74
8/10/2020,3.0277,3.2918,2.98,3.2365,20700739.14
8/11/2020,3.2366,3.2955,2.8718,3.0048,20554907.86
8/12/2020,3.0058,3.0497,2.8877,3.0253,11784141.04
8/13/2020,3.0254,3.1448,2.9177,3.1365,13740396.49
8/14/2020,3.1365,3.2932,3.0821,3.2606,17730971.05
8/15/2020,3.2614,3.8479,3.2613,3.7228,42375306.65
8/16/2020,3.7233,3.949,3.5,3.88,37618928.36
8/17/2020,3.88,3.9177,3.6629,3.7762,25998750.48
8/18/2020,3.7761,3.82,3.4812,3.5744,22424284.02
8/19/2020,3.5761,3.6302,3.2116,3.3487,27858538.12
8/20/2020,3.3481,3.459,3.3478,3.4429,12564967.5
8/21/2020,3.4426,3.627,3.2185,3.2528,28916287.49
8/22/2020,3.2524,3.3791,3.1652,3.362,14905840.04
8/23/2020,3.3612,3.3865,3.2278,3.3212,9517140.27
8/24/2020,3.322,3.4219,3.2844,3.3854,10293165.72
8/25/2020,3.3854,3.3935,2.9595,3.1206,20089467.75
8/26/2020,3.1203,3.1673,3.0604,3.1179,12435162
8/27/2020,3.1179,3.148,2.8555,2.979,18780765.3
8/28/2020,2.979,3.1732,2.9379,3.1159,13616152.81
8/29/2020,3.1159,3.2049,3.0834,3.126,8739078.98
8/30/2020,3.1263,3.2733,3.1254,3.2614,10985380.16
8/31/2020,3.2615,3.2948,3.1915,3.2081,9813255.36
9/1/2020,3.2081,3.5497,3.1517,3.4724,18258233.6
9/2/2020,3.4705,3.4982,2.8773,3.1016,30237981.7
9/3/2020,3.102,3.1584,2.4909,2.6133,37791737.28
9/4/2020,2.6138,3.2421,2.5788,2.9948,58003354.44
9/5/2020,2.9948,3.1506,2.7733,2.9387,57832664.28
9/6/2020,2.9391,3.0335,2.8101,2.9024,20449007.58
9/7/2020,2.9025,2.9393,2.6595,2.852,20516121.64
9/8/2020,2.8536,2.8594,2.6707,2.7622,17445846.31
9/9/2020,2.762,2.8134,2.6966,2.7514,10566139.48
9/10/2020,2.7514,2.8419,2.7377,2.7767,11796591.11
9/11/2020,2.7759,2.8214,2.7171,2.7846,10953743.36
9/12/2020,2.785,2.8288,2.741,2.8052,7893987.78
9/13/2020,2.8046,2.8269,2.6726,2.7249,10904326.97
9/14/2020,2.7249,2.764,2.6854,2.7317,8910182.7
9/15/2020,2.731,2.7814,2.6976,2.7034,10931677.27
9/16/2020,2.7036,2.7492,2.5771,2.713,13376622.27
9/17/2020,2.7124,2.7761,2.694,2.7375,10099272.94
9/18/2020,2.7375,2.75,2.6491,2.6905,9252473.72
9/19/2020,2.6905,2.7377,2.6789,2.7031,5617629.89
9/20/2020,2.7017,2.7017,2.6229,2.6715,5718243.29
9/21/2020,2.6727,2.6895,2.4897,2.5051,11704230.68
9/22/2020,2.5051,2.5849,2.4867,2.5718,6639827.21
9/23/2020,2.5719,2.5785,2.3907,2.4423,7620003.34
9/24/2020,2.4423,2.5612,2.4239,2.5337,8392178.92
9/25/2020,2.5344,2.5635,2.4629,2.5445,9169817.92
9/26/2020,2.544,2.6058,2.5051,2.5655,6104966.56
9/27/2020,2.5655,2.6011,2.5264,2.5897,6135356.97
9/28/2020,2.5897,2.6333,2.5503,2.5626,9444420.85
9/29/2020,2.5625,2.6029,2.5539,2.5995,6145092.38
9/30/2020,2.5994,2.6001,2.5556,2.5777,5077013.15
10/1/2020,2.5776,2.632,2.4861,2.5446,7519319.67
10/2/2020,2.544,2.5576,2.4132,2.4787,8132938.58
10/3/2020,2.4792,2.5017,2.4675,2.4786,3208406.62
10/4/2020,2.4777,2.5342,2.4645,2.5176,5213723.42
10/5/2020,2.5172,2.5378,2.4896,2.5257,4975314.38
10/6/2020,2.5262,2.9711,2.4858,2.6959,39521912.51
10/7/2020,2.6959,2.7167,2.5922,2.6436,19167906.5
10/8/2020,2.644,2.6539,2.4944,2.6066,14694845.07
10/9/2020,2.6065,2.6568,2.5805,2.6406,8543238.67
10/10/2020,2.6405,2.7188,2.633,2.6415,8199375.41
10/11/2020,2.6414,2.686,2.615,2.6576,6672391.34
10/12/2020,2.6574,2.6824,2.6075,2.6428,11318415.21
10/13/2020,2.6428,2.6655,2.6104,2.6383,7832610.7
10/14/2020,2.6383,2.6516,2.5804,2.6065,6416013.09
10/15/2020,2.6068,2.628,2.5824,2.5985,6105948.61
10/16/2020,2.5981,2.6108,2.4911,2.5362,9757793.36
10/17/2020,2.5378,2.5489,2.5036,2.5217,4641493.94
10/18/2020,2.5217,2.5569,2.5177,2.5459,3171318.89
10/19/2020,2.5455,2.611,2.5237,2.5819,6620719.33
10/20/2020,2.5814,2.5856,2.5007,2.5264,7665418.38
10/21/2020,2.5263,2.655,2.5215,2.6055,11791033.47
10/22/2020,2.6054,2.7045,2.6035,2.6693,9918977.68
10/23/2020,2.6694,2.6842,2.5992,2.6395,6959185.76
10/24/2020,2.6393,2.67,2.614,2.6597,3906214.81
10/25/2020,2.6594,2.738,2.6181,2.7074,6792693.84
10/26/2020,2.7072,2.7496,2.5918,2.6291,10409838.33
10/27/2020,2.6295,2.6965,2.6268,2.6739,5532423.77
10/28/2020,2.6735,2.7541,2.621,2.6524,11763103.37
10/29/2020,2.652,2.6798,2.6011,2.6387,6578696.29
10/30/2020,2.6386,2.6469,2.4035,2.5068,13459280.97
10/31/2020,2.5071,2.5665,2.4939,2.528,5946231.53
11/1/2020,2.5279,2.5406,2.4548,2.5185,4276592.54
11/2/2020,2.5186,2.5503,2.4091,2.433,8610468.71
11/3/2020,2.4332,2.4432,2.2259,2.3655,13815918.08
11/4/2020,2.3652,2.3752,2.29,2.3506,7808043.06
11/5/2020,2.3506,2.4891,2.3495,2.4464,12180086.72
11/6/2020,2.4467,2.545,2.4378,2.5349,12903400.78
11/7/2020,2.5348,2.6262,2.4463,2.4971,13337578.26
11/8/2020,2.4971,2.563,2.4827,2.5361,5149937.99
11/9/2020,2.5356,2.5588,2.4572,2.4975,6274076.91
11/10/2020,2.4975,2.5282,2.476,2.498,5413255.43
11/11/2020,2.498,2.5392,2.4919,2.4982,4874289.08
11/12/2020,2.4981,2.5041,2.432,2.4632,6988557.27
11/13/2020,2.4624,2.64,2.4553,2.5982,10104959.94
11/14/2020,2.5985,2.6108,2.4961,2.5359,6908392.65
11/15/2020,2.5359,2.5476,2.4691,2.4961,5833997.73
11/16/2020,2.4961,2.6056,2.4856,2.583,8258090.17
11/17/2020,2.5826,2.7559,2.5752,2.7162,17182505.3
11/18/2020,2.7157,2.7323,2.4476,2.6371,19787146.16
11/19/2020,2.6382,2.7,2.5594,2.6363,10989620.24
11/20/2020,2.6358,2.8286,2.6333,2.7798,18542539.88
11/21/2020,2.7802,3.2586,2.6881,3.2306,48331723.32
11/22/2020,3.2319,3.3051,2.8961,3.0633,40566393.08
11/23/2020,3.0637,3.4,2.9947,3.3789,42578449.47
11/24/2020,3.378,3.7761,3.3285,3.5987,49169188.39
11/25/2020,3.599,3.8802,3.3037,3.4247,42122344.92
11/26/2020,3.4248,3.532,2.7053,2.9522,58593382.07
11/27/2020,2.9524,3.03,2.7532,2.8734,24009942.96
